AptName,PC1,PC2,PC3,PC4,Target,EntrezGeneSymbol
seq.25116.11,0.01972542980569385,-5.984886353332011e-4,-0.006747285118175688,0.0038667343346747186,CCDC9,CCDC9
seq.8474.6,-0.019723299106683186,-0.0016829290913739994,-0.008670105393473845,0.001165975400413816,ROR1,ROR1
seq.8786.6,-0.019722811543231213,8.260606897769748e-4,-0.01091042536736661,0.0019697238050897245,F171B,FAM171B
seq.9369.174,-0.019717706792132448,0.001536747794525384,-0.009354263314083433,0.006966417921675325,NGL1,LRRC4C
seq.9855.10,0.01971177708255178,-0.012187065397878444,0.0014322022757643576,0.001554892193043788,Rho A,RHOA
seq.4232.19,-0.019699464542557773,-0.004416476494611756,-0.008793257803157492,0.0028141174328458387,IGF-I sR,IGF1R
seq.5598.3,-0.01969767795550527,-6.216758171561907e-4,-0.004979149919564801,0.0014836914732072831,GREM2,GREM2
seq.10610.8,0.019693908876762027,0.0023590908259490725,0.0020932512655696556,0.005621282378180259,Fc_MOUSE,
seq.13124.20,-0.01967703065303684,0.002295191597655101,-1.6207118071990222e-4,0.013329493181838762,ISLR2,ISLR2
seq.13590.1,0.01967564359273526,-6.277318198005486e-4,-0.007963764485885,0.012089360988282153,ORN,REXO2
seq.3864.5,0.01967437591740801,-0.00560839740744143,-0.0014288035420594164,-0.005591360784570843,RS7,RPS7
seq.23683.79,-0.019671386011901947,4.881653557630604e-4,-0.010911877572639738,0.004357802219549197,TRI55,TRIM55
seq.24470.20,0.01966800454778148,-0.010144323456584352,-0.0046155582876885055,0.007697054386920504,PCBP3,PCBP3
seq.7228.2,-0.019662113756853228,-0.009169587516929903,0.0010657462457821889,9.32920531069682e-4,SIA7F,ST6GALNAC6
seq.5748.20,0.019654890557373086,-0.009912673532118318,-0.00796026665625547,0.0026017666226164316,Acid ceramidase,ASAH1
seq.8878.48,0.019651036570268624,0.0051578717748842,6.572910043351674e-4,-0.0035238868998852015,YTDC1,YTHDC1
seq.17748.21,0.019645181045700483,-6.881414010465997e-4,-0.006752996055336741,0.012869616069408714,QORX,TP53I3
seq.12338.27,-0.019638449729381172,8.147061087855077e-4,-0.0018575633985650447,0.0019087193442192173,EGFLA,EGFLAM
seq.19261.12,0.019634016727214088,0.00289275546569011,-0.00508307188722741,0.009234304786875206,SDCB2,SDCBP2
seq.11223.1,-0.019632133889621872,0.003077695290789286,-0.008252941527183602,-0.003523068188202692,TM154,TMEM154
