AptName,logFC,AveExpr,t,P.Value,adj.P.Val,B,Target,EntrezGeneSymbol,contrast
seq.19111.10,-0.07661229170450241,-0.01188634624308745,-0.4903699844500945,0.6317472056351525,0.9987520320773822,-4.694483869484237,UBC12,UBE2M,Spine_vs_HeadNeck
seq.19252.67,-0.2628898994353547,-0.2983548284028143,-0.49032510970090154,0.6317781313582806,0.9987520320773822,-4.694489046181756,PSB2,PSMB2,Spine_vs_HeadNeck
seq.21736.60,-0.12017478151251834,-0.06650646741488231,-0.49019563941645566,0.6318673606651888,0.9987520320773822,-4.6945039792291965,HS2ST,HS2ST1,Spine_vs_HeadNeck
seq.20205.55,-0.09261285424973703,-0.06367480271156263,-0.49014344305354934,0.6319033354386023,0.9987520320773822,-4.694509998489382,DYRK2,DYRK2,Spine_vs_HeadNeck
seq.9474.22,-0.1371210166328539,-0.11115929394549078,-0.4896114465858444,0.6322700533908864,0.9987520320773822,-4.69457131378469,ASGR2,ASGR2,Spine_vs_HeadNeck
seq.5231.79,0.08123889391510816,-0.12246633699695482,0.4894912147078913,0.6323529460845314,0.9987520320773822,-4.694585162466771,PCSK9,PCSK9,Spine_vs_HeadNeck
seq.21875.31,0.24528000944777986,-0.4350195422038546,0.489326246467483,0.6324666902046654,0.9987520320773822,-4.694604158830511,ZFAN3,ZFAND3,Spine_vs_HeadNeck
seq.9518.95,-0.04825630894309159,-0.004912862865727193,-0.48923450056053663,0.6325299523769499,0.9987520320773822,-4.69461472092318,PLA1A,PLA1A,Spine_vs_HeadNeck
seq.5730.60,-0.09053905179093338,0.034239925869721834,-0.4891526077451242,0.6325864230121256,0.9987520320773822,-4.694624147126016,BRAK,CXCL14,Spine_vs_HeadNeck
seq.9983.97,0.07154226203868257,0.025801043438999915,0.4890973546283113,0.6326245251221198,0.9987520320773822,-4.694630506152702,PRS35,PRSS35,Spine_vs_HeadNeck
seq.11993.227,0.1462140142225712,-0.21626681365360753,0.4888876630516029,0.632769136653294,0.9987520320773822,-4.694654633217592,Fc_MOUSE,,Spine_vs_HeadNeck
seq.9719.145,-0.08500659890696145,0.07018176112416574,-0.4887823230407284,0.6328417891589782,0.9987520320773822,-4.694666749952349,MMP-16,MMP16,Spine_vs_HeadNeck
seq.13941.82,0.08352948558162039,-0.08914276346040613,0.4885872315421571,0.6329763532663919,0.9987520320773822,-4.694689183882332,SYFM,FARS2,Spine_vs_HeadNeck
seq.6214.84,0.12603698997938487,-0.16863855540443376,0.48839193058886615,0.6331110754048255,0.9987520320773822,-4.69471163348141,IFNA8,IFNA8,Spine_vs_HeadNeck
seq.24422.36,-0.097793861670094,0.1518563340298885,-0.48832412375347267,0.6331578529614372,0.9987520320773822,-4.694719425822393,SPA24,SPATA24,Spine_vs_HeadNeck
seq.2939.10,-0.05839040432994656,-0.04531813573703861,-0.4882334822265009,0.6332203859238263,0.9987520320773822,-4.6947298407336415,Artemin,ARTN,Spine_vs_HeadNeck
